,n_nodes,n_processors,width,density,regular,jump,GA_makespan,proposedAlgo
361,60,4,1.0,0.1,0.5,2,346.0,287.0
362,60,4,1.0,0.1,1.0,2,401.0,324.0
363,60,4,1.0,0.5,0.1,2,440.0,275.0
364,60,4,1.0,0.5,0.5,2,511.0,338.0
365,60,4,1.0,0.5,1.0,2,474.0,360.0
366,60,4,1.0,1.0,0.1,2,470.0,281.0
367,60,4,1.0,1.0,0.5,2,542.0,332.0
368,60,4,1.0,1.0,1.0,2,507.0,353.0
369,60,4,10.0,0.1,0.1,2,312.0,270.0
370,60,4,10.0,0.1,0.5,2,319.0,271.0
371,60,4,10.0,0.1,1.0,2,313.0,287.0
372,60,4,10.0,0.5,0.1,2,293.0,287.0
373,60,4,10.0,0.5,0.5,2,285.0,284.0
374,60,4,10.0,0.5,1.0,2,324.0,288.0
375,60,4,10.0,1.0,0.1,2,320.0,295.0
376,60,4,10.0,1.0,0.5,2,313.0,291.0
377,60,4,10.0,1.0,1.0,2,301.0,273.0
378,60,6,0.5,0.1,0.1,2,491.0,347.0
379,60,6,0.5,0.1,0.5,2,504.0,345.0
380,60,6,0.5,0.1,1.0,2,442.0,282.0
381,60,6,0.5,0.5,0.1,2,564.0,239.0
382,60,6,0.5,0.5,0.5,2,606.0,270.0
383,60,6,0.5,0.5,1.0,2,521.0,233.0
384,60,6,0.5,1.0,0.1,2,588.0,295.0
385,60,6,0.5,1.0,0.5,2,728.0,249.0
386,60,6,0.5,1.0,1.0,2,611.0,228.0
387,60,6,1.0,0.1,0.1,2,379.0,322.0
388,60,6,1.0,0.1,0.5,2,361.0,267.0
389,60,6,1.0,0.1,1.0,2,343.0,227.0
390,60,6,1.0,0.5,0.1,2,460.0,229.0
391,60,6,1.0,0.5,0.5,2,423.0,261.0
392,60,6,1.0,0.5,1.0,2,425.0,260.0
393,60,6,1.0,1.0,0.1,2,493.0,258.0
394,60,6,1.0,1.0,0.5,2,478.0,200.0
395,60,6,1.0,1.0,1.0,2,509.0,355.0
396,60,6,10.0,0.1,0.1,2,255.0,209.0
397,60,6,10.0,0.1,0.5,2,259.0,183.0
398,60,6,10.0,0.1,1.0,2,232.0,191.0
399,60,6,10.0,0.5,0.1,2,252.0,204.0
400,60,6,10.0,0.5,0.5,2,262.0,216.0
401,60,6,10.0,0.5,1.0,2,236.0,205.0
402,60,6,10.0,1.0,0.1,2,248.0,200.0
403,60,6,10.0,1.0,0.5,2,253.0,204.0
404,60,6,10.0,1.0,1.0,2,278.0,232.0
405,80,2,0.5,0.1,0.1,2,738.0,748.0
406,80,2,0.5,0.1,0.5,2,803.0,754.0
407,80,2,0.5,0.1,1.0,2,785.0,745.0
408,80,2,0.5,0.5,0.1,2,831.0,661.0
409,80,2,0.5,0.5,0.5,2,851.0,658.0
410,80,2,0.5,0.5,1.0,2,764.0,606.0
411,80,2,0.5,1.0,0.1,2,876.0,671.0
412,80,2,0.5,1.0,0.5,2,872.0,628.0
413,80,2,0.5,1.0,1.0,2,875.0,609.0
414,80,2,1.0,0.1,0.1,2,624.0,631.0
415,80,2,1.0,0.1,0.5,2,625.0,606.0
416,80,2,1.0,0.1,1.0,2,671.0,642.0
417,80,2,1.0,0.5,0.1,2,675.0,604.0
418,80,2,1.0,0.5,0.5,2,747.0,664.0
419,80,2,1.0,0.5,1.0,2,718.0,615.0
420,80,2,1.0,1.0,0.1,2,745.0,603.0
421,80,2,1.0,1.0,0.5,2,705.0,684.0
422,80,2,1.0,1.0,1.0,2,769.0,676.0
423,80,2,10.0,0.1,0.1,2,656.0,638.0
424,80,2,10.0,0.1,0.5,2,623.0,606.0
425,80,2,10.0,0.1,1.0,2,656.0,581.0
426,80,2,10.0,0.5,0.1,2,677.0,662.0
427,80,2,10.0,0.5,0.5,2,645.0,641.0
428,80,2,10.0,0.5,1.0,2,642.0,639.0
429,80,2,10.0,1.0,0.1,2,670.0,667.0
430,80,2,10.0,1.0,0.5,2,634.0,634.0
431,80,2,10.0,1.0,1.0,2,651.0,642.0
432,80,4,0.5,0.1,0.1,2,478.0,419.0
433,80,4,0.5,0.1,0.5,2,649.0,463.0
434,80,4,0.5,0.1,1.0,2,627.0,511.0
435,80,4,0.5,0.5,0.1,2,880.0,373.0
436,80,4,0.5,0.5,0.5,2,728.0,436.0
437,80,4,0.5,0.5,1.0,2,695.0,453.0
438,80,4,0.5,1.0,0.1,2,893.0,368.0
439,80,4,0.5,1.0,0.5,2,739.0,383.0
440,80,4,0.5,1.0,1.0,2,854.0,344.0
441,80,4,1.0,0.1,0.1,2,425.0,377.0
442,80,4,1.0,0.1,0.5,2,423.0,376.0
443,80,4,1.0,0.1,1.0,2,476.0,356.0
444,80,4,1.0,0.5,0.1,2,596.0,326.0
445,80,4,1.0,0.5,0.5,2,610.0,373.0
446,80,4,1.0,0.5,1.0,2,555.0,330.0
447,80,4,1.0,1.0,0.1,2,639.0,370.0
448,80,4,1.0,1.0,0.5,2,573.0,391.0
449,80,4,1.0,1.0,1.0,2,691.0,446.0
450,80,4,10.0,0.1,0.1,2,351.0,320.0
451,80,4,10.0,0.1,0.5,2,336.0,340.0
452,80,4,10.0,0.1,1.0,2,401.0,338.0
453,80,4,10.0,0.5,0.1,2,409.0,353.0
454,80,4,10.0,0.5,0.5,2,407.0,350.0
455,80,4,10.0,0.5,1.0,2,421.0,382.0
456,80,4,10.0,1.0,0.1,2,378.0,328.0
457,80,4,10.0,1.0,0.5,2,370.0,337.0
458,80,4,10.0,1.0,1.0,2,406.0,380.0
459,80,6,0.5,0.1,0.1,2,654.0,447.0
460,80,6,0.5,0.1,0.5,2,703.0,511.0
461,80,6,0.5,0.1,1.0,2,657.0,456.0
462,80,6,0.5,0.5,0.1,2,621.0,268.0
463,80,6,0.5,0.5,0.5,2,770.0,370.0
464,80,6,0.5,0.5,1.0,2,649.0,306.0
465,80,6,0.5,1.0,0.1,2,843.0,276.0
466,80,6,0.5,1.0,0.5,2,756.0,261.0
467,80,6,0.5,1.0,1.0,2,863.0,386.0
468,80,6,1.0,0.1,0.1,2,436.0,350.0
469,80,6,1.0,0.1,0.5,2,434.0,327.0
470,80,6,1.0,0.1,1.0,2,445.0,316.0
471,80,6,1.0,0.5,0.1,2,477.0,266.0
472,80,6,1.0,0.5,0.5,2,550.0,334.0
473,80,6,1.0,0.5,1.0,2,544.0,298.0
474,80,6,1.0,1.0,0.1,2,548.0,246.0
475,80,6,1.0,1.0,0.5,2,630.0,319.0
476,80,6,1.0,1.0,1.0,2,571.0,357.0
477,80,6,10.0,0.1,0.1,2,291.0,248.0
478,80,6,10.0,0.1,0.5,2,284.0,254.0
479,80,6,10.0,0.1,1.0,2,319.0,269.0
480,80,6,10.0,0.5,0.1,2,340.0,294.0
481,80,6,10.0,0.5,0.5,2,286.0,259.0
482,80,6,10.0,0.5,1.0,2,313.0,256.0
483,80,6,10.0,1.0,0.1,2,374.0,285.0
484,80,6,10.0,1.0,0.5,2,292.0,257.0
485,80,6,10.0,1.0,1.0,2,285.0,241.0
